sl No,item_code,item_description
1,1.1,"Earth work excavation for foundation in all soils and sub-soils to the required depth as  may be directed except in hard rock requiring blasting but inclusive of shoring, strutting, and bailing out water wherever necessary and refilling the sides of foundation with excavated earth in 150mm thick layers well watered rammed and consolidated and depositing the surplus earth in places shown clearing and levelling the site with an initial lead of 10 metres and lift as specified here under etc. complete in all respects complying with relevant standard specifications. (Including Refilling)"
2,1.1.a,a)  0 to 2m depth.
3,1.1.b,b)  2 to 3m depth.
4,1.2,"Earth work excavation for foundation in all soils and sub soils  to the required depth as may be directed except in hard rock requiring blasting, inclusive of shoring, strutting and bailing out  water wherever necessary, (Excluding refilling the sides of foundation) and depositing the earth in places shown clearing and levelling the site with an initial lead of 10 metres and lift as specified hereunder etc., complete in all respects complying with relevant standard specifications. (Excluding Refilling)"
5,1.2.a,a) 0 to 2m depth.
6,1.2.b,b) 2 to 3m depth.
7,1.2.1,"Earth work excavation for foundation in all soils and sub soils  to the required depth as may be directed except in hard rock requiring blasting, inclusive of shoring, strutting and bailing out  water wherever necessary, and depositing the earth in places shown clearing and levelling the site with an initial lead of 10 metres and lift as specified hereunder etc., complete in all respects complying with relevant standard specifications. (Excluding Refilling)"
8,1.2.1.a,a) 0 to 2m depth.
9,1.3.,"Earth work excavation for foundation in soft disintegrated rock, soft laterite rock or Kankar soft rock not requiring blasting inclusive of shoring, strutting and bailing out water wherever necessary and refilling the sides of foundation with excavated earth in 150 mm thick layers well watered rammed and consolidated and depositing the surplus earth in places shown clearing and levelling the site with an initial lead of 10 metres and lift as specified hereunder 10 metres and lift as specified hereunder etc., complete in all respects complying with relevant standard specifications."
10,1.3.a ,a) 0 to 2m depth.
11,1.3.b ,b) 2 to 3 m depth.
12,1.3.1,"Earth work excavation for foundation in soft disintegrated rock, soft laterite rock or Kankar soft rock not requiring blasting inclusive of shoring, strutting and bailing out water  wherever necessary and refilling the sides of foundation with excavated earth in 150 mm thick layers well watered rammed and consolidated and depositing the surplus earth in places shown clearing and levelling the site with an initial lead of 10 metres and lift as specified hereunder 10 metres and lift as specified hereunder etc., complete in all respects complying  with relevant standard specifications. (Including Refilling)"
13,1.3.1.a,a) 0.5 to 2m depth.
14,1.3.1.1,"Earth work excavation for foundation in Denced Medium Rock not requiring blasting inclusive of shoring, strutting and bailing out water wherever necessary and refilling the sides of foundation with excavated earth in 150 mm thick layers well watered rammed and consolidated and depositing the surplus earth in places shown clearing and levelling the site with an initial lead of 10 metres and lift of 2m in medium rock and dense medium rock not requiring blasting as specified hereunder etc., complete in all respects complying with relevant standard specifications. (Including Refilling)"
15,1.3.1.a,a. 0 to 2 mt.
16,1.3.2,"Earth work excavation for Open Foundation in all soils and sub-soils  to the required depth as may be directed except in Denced Medium Rock not requiring blasting, inclusive of shoring, strutting and bailing out water wherever necessary.  (Excluding refilling the sides of foundation) and depositing the earth in places shown clearing and levelling the site with an initial lead of 10 metres and lift as specified hereunder etc., complete in all respects complying with relevant Standard specifications (Excluding Refilling)."
17,1.3.2.a,a. 0 to 2 mt.
18,1.3.2.b,b. 2 to 3 mt.
19,1.4. ,"Earth work excavation for Open Foundation in all soils and sub soils to the required depth as may be directed except in hard rock requiring blasting but inclusive of shoring, strutting and bailing out water wherever necessary and refilling the sides of foundation with excavated earth in 150 mm thick layers well watered rammed and consolidated and depositing the surplus earth in places shown clearing and levelling the site with an initial lead of 10 metres and lift as specified hereunder etc., complete in all respects complying with relevant StandardSpecifications (Including Refilling)"
20,1.4.a ,a) 0 to 2m depth.
21,1.4.b ,b) 2 to 3m depth.
22,1.5. ,"Earth work excavation for Open Foundation in all soils and sub-soils  to the required depth as may be directed except in hard rock requiring blasting, inclusive of shoring, strutting and bailing out water wherever necessary. (Excluding refilling the sides of foundation) and depositing the earth in places shown clearing and levelling the site with an initial lead of 10 metres and lift as specified hereunder etc., complete in all respects complying with relevant Standard specifications. (Excluding Refilling)."
23,1.5.a ,a) 0 to 2m depth.
24,1.5.b,b) 2 to 3m depth.
25,1.5.1,"Earth work excavation for Open Foundation in all soils and sub-soils  to the required depth as may be directed except in hard rock requiring blasting, inclusive of shoring, strutting and bailing out water wherever necessary. (Excluding refilling the sides of foundation) and depositing the earth in places shown clearing and levelling the site with an initial lead of 10 metres and lift as specified hereunder etc., complete in all respects complying with relevant Standard specifications (Excluding Refilling).
c)  3 to 4mt"
26,1.5.1.d,d. 4 to 5 mt.
27,1.6.,"Earth work excavation for Open Foundation for drains in all soils  and  subsoils to the required depth as may be directed except in hard rock requiring blasting, inclusive of shoring, strutting and bailing out water wherever necessary. (Excluding refilling the sides of foundation) and depositing the earth in places shown clearing and leveling the site with an initial lead of 10 metres and lift as specified hereunder etc., complete in all respects complying  with relevant standard specification (Excluding Refilling) (Drain having bed width upto 1.25 metre)."
28,1.6.a,a) 0 to 2m depth.
29,1.6.b,b) 2 to 3m depth.
30,1.6.1,"Earth work excavation for Open Foundation for drains and sullage drains in all soils  and  subsoils to the required depth as may required depth as may be directed except in hard rock requiring blasting, inclusive of shoring, strutting and bailing out water wherever necessary. (Excluding refilling the sides of foundation) and depositing the earth in places shown clearing and leveling the site with an initial lead of 10 metres and lift as specified hereunder etc., complete in all respects complying  with relevant standard specification (Excluding Refilling) (Drain width upto 1.25 to 2 metre)."
